Georgetown County,South Carolina,Georgetown County Board of Elections and Registration ,(843) 545-3339,"",ocd-division/country:us/state:sc/county:georgetown
Greenville County,South Carolina,Greenville County Board of Voter Registration ,(864) 467-7250,http://www.greenvillecounty.org/Voter_Registration/,ocd-division/country:us/state:sc/county:greenville
Greenwood County,South Carolina,Greenwood County Board of Voter Registration ,(864) 942-8585,"",ocd-division/country:us/state:sc/county:greenwood
Hampton County,South Carolina,Hampton County Voter Registration&amp; Elections,(803) 914-2080,"",ocd-division/country:us/state:sc/county:hampton
Horry County,South Carolina,Horry County Board of Voter Registration ,(843) 915-5440,http://horrycounty.org/depts/gengov/registration.html,ocd-division/country:us/state:sc/county:horry
Jasper County,South Carolina,Jasper County Board of Voter Registration ,(843) 726-7709,http://www.jaspercountysc.org/elections_board.htm,ocd-division/country:us/state:sc/county:jasper
Kershaw County,South Carolina,Kershaw County Board of Voter Registration ,(803) 424-4016,"",ocd-division/country:us/state:sc/county:kershaw
Lancaster County,South Carolina,Lancaster County Board of Voter Registration ,(803) 285-2969,"",ocd-division/country:us/state:sc/county:lancaster
Laurens County,South Carolina,Laurens County Board of Voter Registration ,(864) 984-4431,http://www.laurenscountysc.org/vote.html,ocd-division/country:us/state:sc/county:laurens
Lee County,South Carolina,Lee County Board of Voter Registration ,(803) 484-5341,"",ocd-division/country:us/state:sc/county:lee
Lexington County,South Carolina,Lexington County Board of Voter Registration,(803) 785-8361,http://www.lex-co.com/Departments/RegistrationAndElections/Index.html,ocd-division/country:us/state:sc/county:lexington
Marion County,South Carolina,Marion County Board of Voter Registration ,(843) 423-8268,"",ocd-division/country:us/state:sc/county:marion
Marlboro County,South Carolina,Marlboro County Board of Voter Registration ,(843) 479-5612,"",ocd-division/country:us/state:sc/county:marlboro
McCormick County,South Carolina,McCormick County Board of Voter Registration ,(864) 852-2089,"",ocd-division/country:us/state:sc/county:mccormick
Newberry County,South Carolina,Newberry County Board of Voter Registration,(803) 321-2121,"",ocd-division/country:us/state:sc/county:newberry
Oconee County,South Carolina,Oconee County Board of Voter Registration,(864) 638-4196,"",ocd-division/country:us/state:sc/county:oconee
Orangeburg County,South Carolina,Orangeburg County Board of Voter Registration ,(803) 533-6210,"",ocd-division/country:us/state:sc/county:orangeburg
Pickens County,South Carolina,Pickens County Registration &amp; Elections Commission,(864) 898-5637,"",ocd-division/country:us/state:sc/county:pickens
Richland County,South Carolina,Richland County Board of Voter Registration,(803) 576-2240,"",ocd-division/country:us/state:sc/county:richland
Saluda County,South Carolina,Saluda County Board of Voter Registration ,(864) 445-4500,"",ocd-division/country:us/state:sc/county:saluda
Spartanburg County,South Carolina,Spartanburg County Board of Voter Registration,(864) 596-2549,http://www.co.spartanburg.sc.us/govt/depts/regelec/index.htm,ocd-division/country:us/state:sc/county:spartanburg
Sumter County,South Carolina,Sumter County Board of Voter Registration ,(803) 436-2313,http://www.sumtercountysc.org/voterreg.htm,ocd-division/country:us/state:sc/county:sumter
Union County,South Carolina,Union County Board of Voter Registration ,(864) 429-1616,http://www.countyofunion.com/Election.html,ocd-division/country:us/state:sc/county:union
Williamsburg County,South Carolina,Williamsburg County Board of Voter Registration ,,"",ocd-division/country:us/state:sc/county:williamsburg
